Id,Utterance,Original Intent,Original Granular Intent,Final Processed String,ClassifiedRUIntent,ClassificationScoreRU,Classified Intent 1,Classification Score 1,Classified Intent 2,Classification Score 2,Diff between Top Intents,Recognition Source,Correct Classification,Is crossed threshold,is correct and crossed threshold
SynData23Nov_00579,Do you have a veteran discount?,Announcements_Military,Announcements_Military,classless do have veteran discount f classless,Announcements_Military,0.989660624806,Announcements_Military,0.989660624806,,0.0,0.989660624806,web2nl,True,True,True
SynData23Nov_00580,Can I get a discount for being a veteran?,Announcements_Military,Announcements_Military,classless can get discount for veteran f classless,Announcements_Military,0.980467031296,Announcements_Military,0.980467031296,,0.0,0.980467031296,web2nl,True,True,True
SynData23Nov_00581,What is your military discount?,Announcements_Military,Announcements_Military,classless what military discount f classless,Announcements_Military,0.994554766244,Announcements_Military,0.994554766244,,0.0,0.994554766244,web2nl,True,True,True
SynData23Nov_00582,Do you give veterans a discount?,Announcements_Military,Announcements_Military,classless do give veteran discount f classless,Announcements_Military,0.989653720928,Announcements_Military,0.989653720928,,0.0,0.989653720928,web2nl,True,True,True
SynData23Nov_00583,Discount for military,Announcements_Military,Announcements_Military,classless discount for military classless,Announcements_Military,0.999562275088,Announcements_Military,0.999562275088,,0.0,0.999562275088,web2nl,True,True,True
SynData23Nov_00584,Discount for veterans,Announcements_Military,Announcements_Military,classless discount for veteran classless,Announcements_Military,0.999079989573,Announcements_Military,0.999079989573,,0.0,0.999079989573,web2nl,True,True,True
SynData23Nov_00585,Discount for army ,Announcements_Military,Announcements_Military,classless discount for army classless,Announcements_Military,0.998007909397,Announcements_Military,0.998007909397,,0.0,0.998007909397,web2nl,True,True,True
SynData23Nov_00586,Do you guys do military discounts?,Announcements_Military,Announcements_Military,classless do guy do military discount f classless,Announcements_Military,0.995135268344,Announcements_Military,0.995135268344,,0.0,0.995135268344,web2nl,True,True,True
SynData23Nov_00587,Do you guys give military discounts? ,Announcements_Military,Announcements_Military,classless do guy give military discount f classless,Announcements_Military,0.996881789385,Announcements_Military,0.996881789385,,0.0,0.996881789385,web2nl,True,True,True
SynData23Nov_00588,Do you guys give discounts to military?,Announcements_Military,Announcements_Military,classless do guy give discount military f classless,Announcements_Military,0.99110349658,Announcements_Military,0.99110349658,,0.0,0.99110349658,web2nl,True,True,True
SynData23Nov_00589,Does Columbia offer military discounts?,Announcements_Military,Announcements_Military,classless do _class_location offer military discount f classless,Announcements_Military,0.997106065517,Announcements_Military,0.997106065517,,0.0,0.997106065517,web2nl,True,True,True
SynData23Nov_00590,Does Columbia give military discounts?,Announcements_Military,Announcements_Military,classless do _class_location give military discount f classless,Announcements_Military,0.997242866323,Announcements_Military,0.997242866323,,0.0,0.997242866323,web2nl,True,True,True
SynData23Nov_00591,Does Columbia offer discounts to military?,Announcements_Military,Announcements_Military,classless do _class_location offer discount military f classless,Announcements_Military,0.995928258052,Announcements_Military,0.995928258052,,0.0,0.995928258052,web2nl,True,True,True
SynData23Nov_00592,Does Columbia offer discounts to active duty military?,Announcements_Military,Announcements_Military,classless do _class_location offer discount active duty military f classless,Announcements_Military,0.996220856576,Announcements_Military,0.996220856576,,0.0,0.996220856576,web2nl,True,True,True
SynData23Nov_00593,Do you offer discounts to active duty military?,Announcements_Military,Announcements_Military,classless do offer discount active duty military f classless,Announcements_Military,0.995128733576,Announcements_Military,0.995128733576,,0.0,0.995128733576,web2nl,True,True,True
SynData23Nov_00594,Do you guys offer discounts to active duty military?,Announcements_Military,Announcements_Military,classless do guy offer discount active duty military f classless,Announcements_Military,0.99515807141,Announcements_Military,0.99515807141,,0.0,0.99515807141,web2nl,True,True,True
SynData23Nov_00595,Does Columbia offer discounts to active duty military?,Announcements_Military,Announcements_Military,classless do _class_location offer discount active duty military f classless,Announcements_Military,0.996220856576,Announcements_Military,0.996220856576,,0.0,0.996220856576,web2nl,True,True,True
SynData23Nov_00596,Do you offer discounts to veterans?,Announcements_Military,Announcements_Military,classless do offer discount veteran f classless,Announcements_Military,0.979091182978,Announcements_Military,0.979091182978,,0.0,0.979091182978,web2nl,True,True,True
SynData23Nov_00597,Do you guys offer discounts to veterans?,Announcements_Military,Announcements_Military,classless do guy offer discount veteran f classless,Announcements_Military,0.978966551507,Announcements_Military,0.978966551507,,0.0,0.978966551507,web2nl,True,True,True
SynData23Nov_00598,Does Columbia offer discounts to veterans?,Announcements_Military,Announcements_Military,classless do _class_location offer discount veteran f classless,Announcements_Military,0.978841193198,Announcements_Military,0.978841193198,,0.0,0.978841193198,web2nl,True,True,True
SynData23Nov_00599,Do you offer veteran discounts?,Announcements_Military,Announcements_Military,classless do offer veteran discount f classless,Announcements_Military,0.989667524125,Announcements_Military,0.989667524125,,0.0,0.989667524125,web2nl,True,True,True
SynData23Nov_00600,Do you offer discounts to military personnel?,Announcements_Military,Announcements_Military,classless do offer discount military personnel f classless,Announcements_Military,0.997530870508,Announcements_Military,0.997530870508,,0.0,0.997530870508,web2nl,True,True,True
SynData23Nov_00601,Do you guys offer discounts to military personnel?,Announcements_Military,Announcements_Military,classless do guy offer discount military personnel f classless,Announcements_Military,0.99754577684,Announcements_Military,0.99754577684,,0.0,0.99754577684,web2nl,True,True,True
SynData23Nov_00602,Does Columbia offer discounts to military personnel?,Announcements_Military,Announcements_Military,classless do _class_location offer discount military personnel f classless,Announcements_Military,0.997971373441,Announcements_Military,0.997971373441,,0.0,0.997971373441,web2nl,True,True,True
SynData23Nov_00603,Do I need to treat my boots?,Apparel_Care,Apparel_Care,classless do need treat _class_Category_Give f classless,Apparel_Care,0.12889969693,Apparel_Care,0.12889969693,,0.0,0.12889969693,web2nl,True,False,False
SynData23Nov_00604,Are your boots pre treated?,Apparel_Care,Apparel_Care,classless _class_Category_Give per treat f classless,Apparel_Care,0.654221440622,Apparel_Care,0.654221440622,,0.0,0.654221440622,web2nl,True,True,True
SynData23Nov_00605,Am I going to need to treat my boots?,Apparel_Care,Apparel_Care,classless go need treat _class_Category_Give f classless,Apparel_Care,0.16974554845,Apparel_Care,0.16974554845,,0.0,0.16974554845,web2nl,True,False,False
SynData23Nov_00606,Can I wash a fur hood?,Apparel_Care,Apparel_Care,classless can wash fur hood f classless,Apparel_Care,0.931370389685,Apparel_Care,0.931370389685,,0.0,0.931370389685,web2nl,True,True,True
SynData23Nov_00607,How do I wash a fur hood?,Apparel_Care,Apparel_Care,classless how do wash fur hood f classless,Apparel_Care,0.976907965156,Apparel_Care,0.976907965156,,0.0,0.976907965156,web2nl,True,True,True
SynData23Nov_00608,How should I wash my pillow?,Apparel_Care,Apparel_Care,classless how should wash pillow f classless,Apparel_Care,0.952954286597,Apparel_Care,0.952954286597,,0.0,0.952954286597,web2nl,True,True,True
SynData23Nov_00609,Are your cotton products pre shrunk?,Apparel_Care,Apparel_Care,classless cotton product per shrink f classless,Apparel_Care,0.958382110089,Apparel_Care,0.958382110089,,0.0,0.958382110089,web2nl,True,True,True
